sr_no,Country,Other Names,Cuntry Code,Population,Continent,Total Cases,Total Deaths,Total�Cases//1M pop,Per M Population Deaths Cases
29,Brunei ,Brunei Darussalam,BRN,444812,Asia,135974,213,305689,479
30,Bulgaria,Bulgaria,BGR,6856886,Europe,1140679,36568,166355,5333
31,Burkina Faso,Burkina Faso,BFA,21905848,Africa,20853,382,952,17
32,Burundi,Burundi,BDI,12510155,Africa,38519,38,3079,3
33,Cabo Verde,Cabo Verde,CPV,566557,Africa,55960,401,98772,708
34,Cambodia,Cambodia,KHM,17123941,Asia,135747,3054,7927,178
35,Cameroon,Cameroon,CMR,27701805,Africa,119544,1927,4315,70
36,Canada,Canada,CAN,38321435,Northern America,3499226,37690,91312,984
37,Central African Republic,Central African Republic,CAF,4976719,Africa,14649,113,2944,23
38,Caribbean Netherlands,"Bonaire, Sint Eustatius and Saba",BES,26650,Latin America and the Caribbean,8574,33,321726,1238
39,Cayman Islands,Cayman Islands,CYM,67073,Latin America and the Caribbean,20606,24,307218,358
40,Chad,Chad,TCD,17250246,Africa,7308,191,424,11
41,Channel Islands,Guernsey,GGY,176668,Europe,69036,156,390767,883
42,Chile,Chile,CHL,19403451,Latin America and the Caribbean,3486653,56750,179692,2925
43,China,China,CHN,1439323776,Asia,154738,4638,108,3
44,Colombia,Colombia,COL,51832231,Latin America and the Caribbean,6085926,139660,117416,2694
45,Comoros,Comoros,COM,902011,Africa,8093,160,8972,177
46,Congo,Congo,COG,5755689,Africa,24071,385,4182,67
47,Cook Islands,Cook Islands,COK,17592,Oceania,2118,0,120396,0
48,Costa Rica,Costa Rica,CRI,5175547,Latin America and the Caribbean,839368,8308,162180,1605
49,Croatia,Croatia,HRV,4060951,Europe,1102730,15601,271545,3842
50,Cuba,Cuba,CUB,11314513,Latin America and the Caribbean,1092547,8514,96562,752
51,Curaçao,Curaçao,CUW,165268,Latin America and the Caribbean,40671,267,246091,1616
52,Cyprus,Cyprus,CYP,1222745,Asia,439964,947,359817,774
53,Czechia,Czech Republic,CZE,10743762,Europe,3830631,39720,356545,3697
54,Denmark,Denmark,DNK,5827911,Europe,2919428,5762,500939,989
55,Djibouti,Djibouti,DJI,1013146,Africa,15590,189,15388,187
56,Dominica,Dominica,DMA,72299,Latin America and the Caribbean,11891,63,164470,871
57,Dominican Republic,Dominican Republic,DOM,11038333,Latin America and the Caribbean,578130,4375,52375,396
58,Democratic Republic of the Congo,Democratic Republic of the Congo,COD,94323344,Africa,86748,1337,920,14
59,Ecuador,Ecuador,ECU,18111933,Latin America and the Caribbean,859890,35421,47476,1956
60,Egypt,Egypt,EGY,105711844,Africa,505264,24417,4780,231
